subtree,dim,optimizer,seed_variance,mean_projection_count,std_projection_count,mean_clipping_count,mean_grad_norm,runtime_per_epoch
MAMMAL.N.01,10.0,projected_adam,0.25002507206379415,484.3333333333333,357.87753957650557,1.3333333333333333,0.22004129757010515,2.1140849573227265
MAMMAL.N.01,10.0,projected_sgd,0.2727955818358877,817.0,1414.219572767963,2.3333333333333335,0.17208037431137402,2.094709184670743
MAMMAL.N.01,10.0,radam,0.00020890477933172176,0.0,0.0,0.0,0.156864289763354,2.290624386330213
MAMMAL.N.01,10.0,rsgd,0.30904781427877276,0.0,0.0,0.0,0.19663957230563164,2.1925316103346026
MAMMAL.N.01,10.0,sgd,0.0,0.0,0.0,0.0,0.026480156780838617,1.0909215814996667
WORKER.N.01,2.0,adam,0.0,0.0,0.0,0.0,0.02190419319448968,0.6296410453505814
WORKER.N.01,2.0,projected_adam,0.0,3755.3333333333335,325.825617981971,8.333333333333334,0.9074110211247443,0.9729139449385306
WORKER.N.01,2.0,projected_sgd,0.0,790.6666666666666,1261.0893439139566,7.0,0.2328970240606699,0.9391434046750268
WORKER.N.01,2.0,radam,0.005405376897010935,0.0,0.0,0.0,0.5955436912025077,1.134947882189105
WORKER.N.01,2.0,rsgd,0.0,0.0,0.0,0.0,0.19596423221897993,1.003438061568886
WORKER.N.01,2.0,sgd,0.0,0.0,0.0,0.0,0.026999049935836798,0.5429842790278295
WORKER.N.01,3.0,adam,0.0,0.0,0.0,0.0,0.020532980872195683,0.5550287798202286
WORKER.N.01,3.0,projected_adam,0.19350908342270404,2551.6666666666665,958.5021300619699,4.0,0.346477400378236,0.9865467286047837
WORKER.N.01,3.0,projected_sgd,0.0,224.0,241.57607497432357,2.0,0.21995506306289916,0.9483590358868241
WORKER.N.01,3.0,radam,0.28534168932733484,0.0,0.0,0.0,0.448218817098711,1.1175398286432028
WORKER.N.01,3.0,rsgd,0.0,0.0,0.0,0.0,0.21810796587758655,1.0584394799855847
WORKER.N.01,3.0,sgd,0.0,0.0,0.0,0.0,0.025674119524289014,0.5433541520033032
WORKER.N.01,5.0,adam,0.034014628544672146,0.0,0.0,0.0,0.016255317579963218,0.5852494109421968
WORKER.N.01,5.0,projected_adam,5.592132826806348e-05,1748.6666666666667,630.6459651288775,2.3333333333333335,0.19274675151976609,1.1342471290069323
WORKER.N.01,5.0,projected_sgd,0.30994897959183687,98.66666666666667,158.08331136882646,2.0,0.22539327897975336,1.0800929094354312
WORKER.N.01,5.0,radam,0.093516892610447,0.0,0.0,0.0,0.21162766949929668,1.1801947425119579
WORKER.N.01,5.0,rsgd,0.29516888075590025,0.0,0.0,0.0,1.0389098984840535,1.0385117707774043
WORKER.N.01,5.0,sgd,0.0,0.0,0.0,0.0,0.026841300332297965,0.5982986645928273
WORKER.N.01,10.0,adam,0.0019047982168673458,0.0,0.0,0.0,0.009753700523635117,0.5753838557284325
WORKER.N.01,10.0,projected_adam,4.717171524757753e-05,175.66666666666666,230.75167027203364,0.3333333333333333,0.24540560020089353,1.0377112062027056
WORKER.N.01,10.0,projected_sgd,3.090571615960613e-05,3.3333333333333335,5.773502691896257,0.0,0.09850380407986586,1.0562140772429605
WORKER.N.01,10.0,radam,5.9545063608726596e-05,0.0,0.0,0.0,0.18777983203635026,1.200729596739014
